scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage B (D+T+S+W+B),NC,3,0.6841514920745679,4291.705882352941,494.4125135590686,500.34567901234567
Stage B (D+T+S+W+B),NC,2,0.5005671651082705,4617.176470588235,373.0266060138918,364.2894736842105
Stage B (D+T+S+W+B),NC,1,0.556541767312224,4525.294117647059,380.60490269700534,392.70708446866485
Stage B (D+T+S+W+B),NC,5,0.7287162725682574,4736.411764705882,497.91118676434627,523.4914675767918
Stage B (D+T+S+W+B),NC,6,0.5957575442534558,4599.529411764706,400.76067470798137,408.258064516129
Stage B (D+T+S+W+B),NC,8,0.7254379058326731,4519.294117647059,438.7427700118174,461.13421052631577
Stage B (D+T+S+W+B),NC,4,0.5879085242476547,4784.764705882353,412.37620904782506,415.87266739846325
Stage B (D+T+S+W+B),NC,7,0.7436630568823023,4734.764705882353,437.26035908605013,421.2198795180723
Stage B (D+T+S+W+B),NC,9,0.6953694191260854,5032.294117647059,441.10586919122545,467.84033613445376
Stage B (D+T+S+W+B),NC,0,0.7633974349374284,5597.705882352941,501.35029463145037,875.8039786511403
Stage B (D+T+S+W+B),NC,10,0.5475255655374999,4504.117647058823,411.3987948705427,411.0814814814815
Stage B (D+T+S+W+B),NC,15,0.6055436151905094,4496.764705882353,387.88771052630113,401.05191873589166
Stage B (D+T+S+W+B),NC,12,0.7097688915376689,4593.235294117647,473.9957348639768,457.7007722007722
Stage B (D+T+S+W+B),NC,14,0.8018372606596895,4612.117647058823,460.844197175624,511.5377969762419
Stage B (D+T+S+W+B),NC,17,0.6935488446169965,4469.705882352941,464.47191600001787,456.7169811320755
Stage B (D+T+S+W+B),NC,11,0.7066536232260169,4809.823529411765,420.5803551050753,450.6479400749064
Stage B (D+T+S+W+B),NC,13,0.8437658403609305,5064.941176470588,559.9192040753328,598.7871986699917
Stage B (D+T+S+W+B),NC,16,0.575309347707518,4837.64705882353,409.89084703457996,419.30801687763716
Stage B (D+T+S+W+B),NC,18,0.8425322190060837,4898.117647058823,515.8070375518403,544.9890202702703
Stage B (D+T+S+W+B),NC,19,0.6599258751302671,4804.117647058823,450.2923693121955,465.0910852713178
Stage B (D+T+S+W+B),NC,21,0.6072279826765391,4344.64705882353,429.19455012849136,426.84322033898303
Stage B (D+T+S+W+B),NC,23,0.6528469757848323,4768.764705882353,422.08844088909063,446.4052098408104
Stage B (D+T+S+W+B),NC,20,0.8144589570624974,4945.176470588235,519.8706985051804,531.8083900226758
Stage B (D+T+S+W+B),NC,22,0.8427812531753239,4808.882352941177,510.04058837958496,536.8581560283687
Stage B (D+T+S+W+B),NC,25,0.6496325599191729,4516.235294117647,427.84531166843186,451.3689138576779
Stage B (D+T+S+W+B),NC,26,0.7761331661656037,4664.058823529412,479.0529335640495,491.768
Stage B (D+T+S+W+B),NC,27,0.47764519799963245,4579.35294117647,344.4362073495573,387.09282700421943
Stage B (D+T+S+W+B),NC,24,0.6822338075160747,4934.470588235294,415.66017801068296,433.4909228441755
Stage B (D+T+S+W+B),NC,28,0.8016957021929915,4859.117647058823,488.8167156693711,525.0388802488336
