scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage B (D+T+S+W+B),NC,3,0.8504381175067597,4486.823529411765,580.7554368717181,575.7954144620811
Stage B (D+T+S+W+B),NC,8,0.7575584309054544,4605.882352941177,453.0368376713064,481.8211920529801
Stage B (D+T+S+W+B),NC,1,0.8050722070430325,4831.117647058823,480.758156304154,493.31309041835357
Stage B (D+T+S+W+B),NC,2,0.6108885447892001,5038.764705882353,413.29591753812036,450.3700657894737
Stage B (D+T+S+W+B),NC,5,0.8093787566718009,5131.882352941177,548.4216376778254,579.2674616695059
Stage B (D+T+S+W+B),NC,6,0.7138309671786257,4873.588235294118,458.37215562457413,452.5189003436426
Stage B (D+T+S+W+B),NC,7,0.9011963299101635,4966.0,488.77868068179527,494.0900900900901
Stage B (D+T+S+W+B),NC,4,0.7947294640302031,5274.117647058823,493.3478075908922,480.7497267759563
Stage B (D+T+S+W+B),NC,9,0.9092269507176799,5462.411764705882,558.323306171347,625.3236030025021
Stage B (D+T+S+W+B),NC,0,0.8433627048846953,6114.882352941177,550.4884486387904,979.1795245026686
Stage B (D+T+S+W+B),NC,10,0.7497167480633427,4789.058823529412,514.080862924401,523.4749536178108
Stage B (D+T+S+W+B),NC,15,0.7949580390164773,4745.64705882353,458.46991626632456,482.15646258503403
Stage B (D+T+S+W+B),NC,14,0.9524128502831272,4912.764705882353,527.6056359288992,577.2145922746781
Stage B (D+T+S+W+B),NC,12,0.8442937026436061,4962.529411764706,525.8378124539777,527.7046332046332
Stage B (D+T+S+W+B),NC,17,0.9065722757384619,4795.764705882353,554.0327933777246,563.3790476190476
Stage B (D+T+S+W+B),NC,11,0.8748034190766936,5203.588235294118,500.5656153855622,531.275415896488
Stage B (D+T+S+W+B),NC,13,0.8809340475251664,5266.882352941177,585.5055544952793,596.1627712854757
Stage B (D+T+S+W+B),NC,16,0.7143555151649064,5162.0,482.6473959402089,499.25760135135135
Stage B (D+T+S+W+B),NC,18,0.8588248117742612,5191.588235294118,547.3502965838476,587.2212837837837
Stage B (D+T+S+W+B),NC,19,0.6979010775334008,5093.235294117647,463.127755557186,468.2982625482625
Stage B (D+T+S+W+B),NC,21,0.6980843985613345,4527.294117647059,484.97613434944,471.41101694915255
Stage B (D+T+S+W+B),NC,23,0.7860321161272178,5276.411764705882,465.0148084140367,495.2113702623907
Stage B (D+T+S+W+B),NC,20,0.9500582335416948,5496.64705882353,641.2034268929212,676.68820861678
Stage B (D+T+S+W+B),NC,22,0.9082769850881716,5153.64705882353,550.468441001697,556.6555819477435
Stage B (D+T+S+W+B),NC,25,0.8087228666488626,4880.117647058823,501.0738578683466,513.9480769230769
Stage B (D+T+S+W+B),NC,26,0.9544894969940801,5144.235294117647,563.3282196469496,591.5908183632735
Stage B (D+T+S+W+B),NC,27,0.6631767009761449,4794.705882352941,386.37366917873726,477.10084033613447
Stage B (D+T+S+W+B),NC,24,0.6982322713054004,5156.35294117647,417.65311342837333,437.9401061410159
Stage B (D+T+S+W+B),NC,28,1.0723621703133088,5452.411764705882,638.5633650945999,675.0138248847926
Stage B (D+T+S+W+B),NC,29,0.7861040549548363,5107.588235294118,432.2880474907048,471.0226039783002
Stage B (D+T+S+W+B),FH,3,0.7605959579174028,4600.294117647059,536.3354214795696,506.80599647266314
Stage B (D+T+S+W+B),FH,2,0.6547751496656024,5214.0,433.3337271439069,484.6595394736842
Stage B (D+T+S+W+B),FH,1,0.7905027011577779,5005.705882352941,478.7972741494324,474.08322147651006
