deviation_s
159
-1
-29
-140
98
-89
-27
-49
-70
-160
-19
-121
48
14
-41
-77
-544
52
291
-96
-94
-24
-74
-54
212
8
69
233
26
6
64
-40
51
-92
-67
426
97
-15
-70
152
160
-606
-48
-109
495
-116
-280
-14
331
-20
139
-35
-41
156
-4
-49
-35
-24
-44
-1
18
-156
-73
-12
-54
63
-86
71
101
2
-32
-9
-48
-74
214
-27
-519
103
87
352
-88
382
-650
335
-212
-42
142
40
-31
40
219
33
458
-124
208
-35
4
-595
471
-607
377
213
129
341
307
202
341
400
-94
52
-93
2
-32
281
-116
165
-161
50
-222
72
193
531
143
199
-35
90
-35
32
97
112
366
-2
308
297
160
106
-139
478
-190
181
61
-72
-67
-45
-25
-116
0
-2
-66
-40
110
-29
42
49
2
2
49
45
35
-41
-603
-26
70
-91
189
8
-28
-41
45
103
-42
-31
50
530
-28
204
29
-91
-162
-27
-117
-75
103
-77
35
-159
-573
-35
-48
56
134
92
-83
-156
52
-70
-92
71
123
248
-3
170
-38
-35
-40
-2
-34
-79
-6
-132
35
-4
-2
5
-6
-30
18
-69
-68
137
-34
-52
161
-48
-66
-29
-1
45
-29
-44
-5
42
-120
-65
-113
43
-1
-57
42
-84
43
85
-38
-23
-82
49
-75
47
-97
-79
650
38
13
-79
38
421
155
91
-45
195
-73
51
-121
149
-16
28
-17
-124
-115
-28
-15
114
175
-2
-78
6
-73
35
66
54
12
103
159
250
-29
73
268
209
8
249
261
215
-113
177
-14
228
-75
74
-394
-41
464
-153
258
-68
-5
111
186
-92
74
49
-8
260
37
211
24
-37
-6
-82
46
170
-14
-117
-114
295
-109
-9
4
-121
-113
110
19
2
-91
1
150
-144
45
-11
-160
42
53
247
72
83
-34
-38
63
-116
-9
0
166
-124
42
43
91
-123
90
116
-44
-70
670
10
4
-73
-72
8
157
-25
4
104
14
-34
-45
-22
267
-77
348
50
52
-67
9
-6
-21
-42
-40
162
-25
-155
208
49
-117
18
10
27
150
45
-42
-29
7
-120
5
-31
-93
41
183
157
93
44
-170
-44
134
-71
47
