episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
105,1,1,1,0.79,-44.17,0.8323,,,,,0.777
106,1,0,1,0.0,-22.66,0.5739,,,,,0.775
107,1,0,1,0.0,-22.5,0.5409,,,,,0.773
108,1,0,1,0.0,-7.25,0.3026,,,,,0.77
109,0,0,0,0.0,-31.57,0.7024,,,,,0.768
110,0,0,1,0.0,-35.86,0.7209,,,,,0.766
111,0,0,1,0.0,-27.58,0.5762,,,,,0.764
112,0,0,1,0.0,-10.58,0.4035,,,,,0.762
113,1,1,1,1.128,-75.55,0.8989,,,,,0.76
114,1,1,1,0.012,-15.47,0.4556,,,,,0.758
115,0,0,0,0.0,-23.25,0.587,,,,,0.756
116,1,1,0,0.194,-20.1,0.5485,,,,,0.753
117,1,1,0,0.119,-24.16,0.5904,,,,,0.751
118,1,1,1,0.64,-43.74,0.6854,,,,,0.749
119,0,1,1,1.118,-55.65,0.8225,,,,,0.747
120,0,0,1,0.0,-33.47,0.692,,,,,0.745
121,0,1,0,0.818,-63.06,0.9348,,,,,0.743
122,0,1,0,0.196,-16.57,0.4788,,,,,0.741
123,0,1,0,1.136,-40.3,0.7399,,,,,0.738
124,1,0,1,0.0,-25.45,0.6035,,,,,0.736
125,0,0,1,0.0,-15.69,0.4366,,,,,0.734
126,0,1,1,0.43,-51.81,0.8985,,,,,0.732
127,1,1,1,0.931,-70.89,0.8976,,,,,0.73
128,0,1,1,0.501,-28.48,0.5752,,,,,0.728
129,0,0,0,0.0,-16.36,0.4607,,,,,0.726
130,0,0,1,0.0,-16.84,0.51,,,,,0.724
131,1,0,0,0.0,-20.46,0.4658,,,,,0.722
132,0,0,1,0.0,-14.0,0.416,,,,,0.72
133,0,1,0,0.529,-28.67,0.6957,,,,,0.717
134,1,0,0,0.0,-24.84,0.588,,,,,0.715
135,1,0,1,0.0,-32.13,0.7464,,,,,0.713
136,1,1,1,1.121,-60.68,1.0377,,,,,0.711
137,0,1,0,0.27,-27.61,0.6144,,,,,0.709
138,1,1,1,0.813,-56.11,0.8951,,,,,0.707
139,1,0,1,0.0,-32.33,0.6313,,,,,0.705
140,0,0,0,0.0,-17.84,0.4778,,,,,0.703
141,1,0,1,0.0,-44.12,0.691,,,,,0.7
142,1,1,0,0.034,-12.35,0.4395,,,,,0.698
143,0,0,0,0.0,-27.26,0.6929,,,,,0.696
144,0,0,1,0.0,-25.1,0.6175,,,,,0.694
145,0,0,1,0.0,-9.77,0.3899,,,,,0.692
146,1,0,0,0.0,-26.96,0.545,,,,,0.69
147,1,1,1,0.869,-49.54,0.802,,,,,0.688
148,0,1,1,0.099,-17.64,0.5039,,,,,0.686
149,1,0,1,0.0,-28.44,0.6061,,,,,0.683
150,0,1,0,1.223,-37.86,0.721,0.6607,0.5714,0.62,0.7907,0.681
151,1,0,0,0.0,-13.11,0.4325,,,,,0.679
152,1,0,1,0.0,-15.99,0.4932,,,,,0.677
153,0,0,1,0.0,-13.05,0.4793,,,,,0.675
154,1,0,0,0.0,-6.84,0.3097,,,,,0.673
155,0,1,1,0.007,-14.54,0.4349,,,,,0.671
156,1,1,1,0.166,-12.9,0.4186,,,,,0.669
157,0,0,0,0.0,-13.62,0.443,,,,,0.666
158,1,1,1,0.588,-46.72,0.7908,,,,,0.664
159,0,0,0,0.0,-17.16,0.4837,,,,,0.662
160,1,0,0,0.0,-6.41,0.3095,,,,,0.66
161,1,1,1,0.719,-45.75,0.9616,,,,,0.658
162,1,1,1,0.191,-28.38,0.6497,,,,,0.656
163,1,0,1,0.0,-15.65,0.5167,,,,,0.654
164,1,0,0,0.0,-26.77,0.5419,,,,,0.651
165,0,1,1,1.083,-42.49,0.7545,,,,,0.649
