episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
105,1,1,1,0.79,-92.78,0.8492,,,,,0.777
106,1,0,1,0.0,-59.92,0.57,,,,,0.775
107,1,0,1,0.0,-47.04,0.4784,,,,,0.773
108,1,0,1,0.0,-23.38,0.361,,,,,0.77
109,0,0,0,0.0,-81.23,0.6673,,,,,0.768
110,0,0,1,0.0,-86.97,0.732,,,,,0.766
111,0,0,1,0.0,-62.39,0.5716,,,,,0.764
112,0,0,1,0.0,-27.81,0.4086,,,,,0.762
113,1,1,1,1.128,-123.7,0.8902,,,,,0.76
114,1,1,1,0.012,-28.37,0.4599,,,,,0.758
115,0,0,0,0.0,-60.85,0.6049,,,,,0.756
116,1,1,0,0.194,-39.01,0.5371,,,,,0.753
117,1,1,0,0.119,-54.27,0.5399,,,,,0.751
118,1,1,1,0.64,-78.99,0.6867,,,,,0.749
119,0,1,1,1.118,-103.09,0.8216,,,,,0.747
120,0,0,1,0.0,-78.95,0.6947,,,,,0.745
121,0,1,0,0.818,-119.61,0.9177,,,,,0.743
122,0,1,0,0.196,-32.15,0.4614,,,,,0.741
123,0,1,0,1.136,-80.85,0.7148,,,,,0.738
124,1,0,1,0.0,-48.9,0.5814,,,,,0.736
125,0,0,1,0.0,-35.42,0.4306,,,,,0.734
126,0,1,1,0.43,-117.08,0.9116,,,,,0.732
127,1,1,1,0.931,-121.91,0.8545,,,,,0.73
128,0,1,1,0.501,-61.18,0.5761,,,,,0.728
129,0,0,0,0.0,-39.07,0.4874,,,,,0.726
130,0,0,1,0.0,-37.43,0.5124,,,,,0.724
131,1,0,0,0.0,-37.76,0.4435,,,,,0.722
132,0,0,1,0.0,-32.59,0.4097,,,,,0.72
133,0,1,0,0.529,-70.4,0.6826,,,,,0.717
134,1,0,0,0.0,-71.17,0.6732,,,,,0.715
135,1,0,1,0.0,-63.64,0.6625,,,,,0.713
136,1,1,1,1.121,-105.43,0.975,,,,,0.711
137,0,1,0,0.27,-60.76,0.6104,,,,,0.709
138,1,1,1,0.813,-103.52,0.8518,,,,,0.707
139,1,0,1,0.0,-88.45,0.6889,,,,,0.705
140,0,0,0,0.0,-50.91,0.4568,,,,,0.703
141,1,0,1,0.0,-67.24,0.6244,,,,,0.7
142,1,1,0,0.034,-21.17,0.3625,,,,,0.698
143,0,0,0,0.0,-72.33,0.7141,,,,,0.696
144,0,0,1,0.0,-63.65,0.622,,,,,0.694
145,0,0,1,0.0,-19.7,0.3899,,,,,0.692
146,1,0,0,0.0,-54.82,0.5333,,,,,0.69
147,1,1,1,0.869,-96.71,0.7835,,,,,0.688
148,0,1,1,0.099,-28.79,0.3778,,,,,0.686
149,1,0,1,0.0,-65.91,0.6291,,,,,0.683
150,0,1,0,1.223,-78.08,0.7151,0.5461,0.4378,0.4738,0.7267,0.681
151,1,0,0,0.0,-40.84,0.4581,,,,,0.679
152,1,0,1,0.0,-35.39,0.4763,,,,,0.677
153,0,0,1,0.0,-21.89,0.4901,,,,,0.675
154,1,0,0,0.0,-14.4,0.2988,,,,,0.673
155,0,1,1,0.007,-31.5,0.4202,,,,,0.671
156,1,1,1,0.166,-25.15,0.4034,,,,,0.669
157,0,0,0,0.0,-37.58,0.4373,,,,,0.666
158,1,1,1,0.588,-96.44,0.7953,,,,,0.664
159,0,0,0,0.0,-37.04,0.4351,,,,,0.662
160,1,0,0,0.0,-13.26,0.2762,,,,,0.66
161,1,1,1,0.719,-99.28,0.9869,,,,,0.658
162,1,1,1,0.191,-68.37,0.6591,,,,,0.656
163,1,0,1,0.0,-36.25,0.5021,,,,,0.654
164,1,0,0,0.0,-61.29,0.5582,,,,,0.651
165,0,1,1,1.083,-83.03,0.7385,,,,,0.649
166,1,1,0,0.204,-64.63,0.6195,,,,,0.647
167,0,0,0,0.0,-59.48,0.5666,,,,,0.645
168,0,1,1,1.007,-101.98,0.8151,,,,,0.643
169,1,1,0,0.169,-28.94,0.3854,,,,,0.641
170,0,0,0,0.0,-21.38,0.3253,,,,,0.639
171,1,1,0,0.241,-34.86,0.4837,,,,,0.637
172,1,1,1,0.797,-96.71,0.8268,,,,,0.634
173,0,1,0,0.77,-68.01,0.6531,,,,,0.632
174,1,1,1,0.082,-33.96,0.4548,,,,,0.63
175,1,1,0,1.13,-91.96,0.8974,,,,,0.628
176,1,1,1,1.191,-62.73,0.7094,,,,,0.626
177,0,0,0,0.0,-62.33,0.6168,,,,,0.624
178,0,0,1,0.0,-15.25,0.274,,,,,0.622
179,1,0,1,0.0,-69.22,0.6235,,,,,0.619
180,0,1,0,0.992,-112.25,0.9139,,,,,0.617
181,1,1,0,0.4,-84.58,0.648,,,,,0.615
182,1,0,1,0.0,-53.35,0.5218,,,,,0.613
183,0,0,0,0.0,-27.03,0.4436,,,,,0.611
184,1,0,1,0.0,-44.57,0.5348,,,,,0.609
185,0,1,0,1.214,-113.87,0.8038,,,,,0.607
186,0,1,1,0.522,-115.6,0.805,,,,,0.605
187,1,0,1,0.0,-31.93,0.3986,,,,,0.602
188,0,0,0,0.0,-24.02,0.4244,,,,,0.6
189,1,0,0,0.0,-45.81,0.5034,,,,,0.598
190,0,0,1,0.0,-28.57,0.4189,,,,,0.596
191,1,1,0,1.238,-167.84,1.1349,,,,,0.594
192,0,1,1,1.001,-75.03,0.7058,,,,,0.592
193,0,1,0,0.362,-74.21,0.6637,,,,,0.59
194,0,0,0,0.0,-72.35,0.6349,,,,,0.587
195,0,1,0,0.305,-39.93,0.504,,,,,0.585
196,1,0,1,0.0,-25.39,0.3581,,,,,0.583
197,1,1,1,0.252,-92.8,0.6946,,,,,0.581
198,0,1,1,1.024,-105.28,0.8893,,,,,0.579
199,1,1,0,0.047,-70.86,0.6712,,,,,0.577
200,1,0,0,0.0,-75.97,0.6224,0.5161,0.3895,0.4528,0.706,0.575
201,0,0,0,0.0,-34.07,0.4362,,,,,0.573
202,0,0,1,0.0,-37.05,0.4856,,,,,0.57
203,0,0,1,0.0,-52.82,0.5384,,,,,0.568
204,0,0,0,0.0,-15.87,0.341,,,,,0.566
205,1,1,0,0.577,-85.32,0.786,,,,,0.564
206,0,0,1,0.0,-41.63,0.4874,,,,,0.562
207,1,1,1,0.082,-18.08,0.3778,,,,,0.56
208,0,0,1,0.0,-56.73,0.5442,,,,,0.558
209,1,1,1,0.544,-120.82,0.8992,,,,,0.556
210,1,0,1,0.0,-66.87,0.6219,,,,,0.554
211,1,1,0,0.262,-59.07,0.5775,,,,,0.551
212,0,1,0,0.558,-95.25,0.7898,,,,,0.549
213,0,0,0,0.0,-30.34,0.4271,,,,,0.547
214,0,1,0,0.879,-61.3,0.6683,,,,,0.545
215,0,0,1,0.0,-47.37,0.4999,,,,,0.543
216,1,0,0,0.0,-26.12,0.4076,,,,,0.541
217,0,0,0,0.0,-63.16,0.5481,,,,,0.539
218,1,0,1,0.0,-32.91,0.4457,,,,,0.536
219,0,0,0,0.0,-39.88,0.5136,,,,,0.534
220,1,1,0,1.282,-78.82,0.8316,,,,,0.532
221,1,0,1,0.0,-56.68,0.5939,,,,,0.53
222,0,0,0,0.0,-27.4,0.3517,,,,,0.528
223,1,1,1,1.017,-124.7,0.8419,,,,,0.526
224,1,0,1,0.0,-58.69,0.574,,,,,0.524
225,0,0,1,0.0,-63.68,0.5992,,,,,0.522
226,1,1,1,0.386,-88.58,0.6933,,,,,0.52
227,1,1,1,1.3,-145.34,1.017,,,,,0.517
228,0,0,0,0.0,-18.28,0.379,,,,,0.515
229,0,0,0,0.0,-40.79,0.4826,,,,,0.513
230,1,0,1,0.0,-28.84,0.3827,,,,,0.511
231,1,1,1,0.878,-122.47,1.0206,,,,,0.509
232,0,1,1,0.559,-100.03,0.7553,,,,,0.507
