episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
105,1,1,1,0.79,-90.57,0.8388,,,,,0.777
106,1,0,1,0.0,-57.18,0.5564,,,,,0.775
107,1,0,1,0.0,-47.53,0.4652,,,,,0.773
108,1,0,1,0.0,-19.76,0.3312,,,,,0.77
109,0,0,0,0.0,-79.57,0.6459,,,,,0.768
110,0,0,1,0.0,-89.89,0.7355,,,,,0.766
111,0,0,1,0.0,-65.33,0.5829,,,,,0.764
112,0,0,1,0.0,-32.3,0.4237,,,,,0.762
113,1,1,1,1.128,-130.07,0.8763,,,,,0.76
114,1,1,1,0.012,-31.1,0.4754,,,,,0.758
115,0,0,0,0.0,-56.88,0.563,,,,,0.756
116,1,1,0,0.194,-38.55,0.5294,,,,,0.753
117,1,1,0,0.119,-64.03,0.583,,,,,0.751
118,1,1,1,0.64,-87.85,0.6945,,,,,0.749
119,0,1,1,1.118,-107.4,0.8237,,,,,0.747
120,0,0,1,0.0,-74.83,0.668,,,,,0.745
121,0,1,0,0.818,-123.47,0.9235,,,,,0.743
122,0,1,0,0.196,-34.42,0.4738,,,,,0.741
123,0,1,0,1.136,-84.11,0.7159,,,,,0.738
124,1,0,1,0.0,-48.86,0.5799,,,,,0.736
125,0,0,1,0.0,-33.26,0.4064,,,,,0.734
126,0,1,1,0.43,-109.64,0.901,,,,,0.732
127,1,1,1,0.931,-135.95,0.8806,,,,,0.73
128,0,1,1,0.501,-62.81,0.57,,,,,0.728
129,0,0,0,0.0,-35.06,0.45,,,,,0.726
130,0,0,1,0.0,-42.94,0.5119,,,,,0.724
131,1,0,0,0.0,-38.75,0.4371,,,,,0.722
132,0,0,1,0.0,-37.94,0.4228,,,,,0.72
133,0,1,0,0.529,-72.27,0.6992,,,,,0.717
134,1,0,0,0.0,-60.69,0.6203,,,,,0.715
135,1,0,1,0.0,-75.88,0.7083,,,,,0.713
136,1,1,1,1.121,-110.39,1.0083,,,,,0.711
137,0,1,0,0.27,-61.13,0.6112,,,,,0.709
138,1,1,1,0.813,-109.32,0.8788,,,,,0.707
139,1,0,1,0.0,-86.12,0.6614,,,,,0.705
140,0,0,0,0.0,-48.17,0.4293,,,,,0.703
141,1,0,1,0.0,-71.39,0.6241,,,,,0.7
142,1,1,0,0.034,-20.8,0.3481,,,,,0.698
143,0,0,0,0.0,-78.6,0.7329,,,,,0.696
144,0,0,1,0.0,-64.8,0.6204,,,,,0.694
145,0,0,1,0.0,-22.56,0.3927,,,,,0.692
146,1,0,0,0.0,-60.48,0.5547,,,,,0.69
147,1,1,1,0.869,-99.01,0.7916,,,,,0.688
148,0,1,1,0.099,-35.63,0.4114,,,,,0.686
149,1,0,1,0.0,-68.02,0.6246,,,,,0.683
150,0,1,0,1.223,-71.27,0.6761,0.5141,0.381,0.4678,0.6934,0.681
151,1,0,0,0.0,-42.81,0.4378,,,,,0.679
152,1,0,1,0.0,-36.99,0.4739,,,,,0.677
153,0,0,1,0.0,-24.37,0.4905,,,,,0.675
154,1,0,0,0.0,-17.92,0.3126,,,,,0.673
155,0,1,1,0.007,-39.92,0.4521,,,,,0.671
156,1,1,1,0.166,-27.44,0.4119,,,,,0.669
157,0,0,0,0.0,-39.07,0.4429,,,,,0.666
158,1,1,1,0.588,-93.61,0.7775,,,,,0.664
159,0,0,0,0.0,-40.06,0.4518,,,,,0.662
160,1,0,0,0.0,-15.47,0.2861,,,,,0.66
161,1,1,1,0.719,-102.03,0.9704,,,,,0.658
