episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
105,1,1,1,0.79,-35.46,0.8361,,,,,0.777
106,1,0,1,0.0,-20.69,0.5731,,,,,0.775
107,1,0,1,0.0,-19.58,0.5405,,,,,0.773
108,1,0,1,0.0,-8.99,0.3517,,,,,0.77
109,0,0,0,0.0,-29.11,0.7042,,,,,0.768
110,0,0,1,0.0,-27.1,0.6867,,,,,0.766
111,0,0,1,0.0,-23.13,0.555,,,,,0.764
112,0,0,1,0.0,-9.33,0.3791,,,,,0.762
113,1,1,1,1.128,-60.66,0.898,,,,,0.76
114,1,1,1,0.012,-13.39,0.4624,,,,,0.758
115,0,0,0,0.0,-20.06,0.5809,,,,,0.756
116,1,1,0,0.194,-16.02,0.5332,,,,,0.753
117,1,1,0,0.119,-19.12,0.537,,,,,0.751
118,1,1,1,0.64,-38.81,0.7031,,,,,0.749
119,0,1,1,1.118,-46.18,0.8332,,,,,0.747
120,0,0,1,0.0,-29.39,0.702,,,,,0.745
121,0,1,0,0.818,-44.97,0.9151,,,,,0.743
122,0,1,0,0.196,-15.47,0.4824,,,,,0.741
123,0,1,0,1.136,-38.14,0.7797,,,,,0.738
124,1,0,1,0.0,-20.33,0.5608,,,,,0.736
125,0,0,1,0.0,-16.12,0.4739,,,,,0.734
126,0,1,1,0.43,-46.93,0.8973,,,,,0.732
127,1,1,1,0.931,-53.16,0.9082,,,,,0.73
128,0,1,1,0.501,-26.8,0.5723,,,,,0.728
129,0,0,0,0.0,-12.65,0.4686,,,,,0.726
130,0,0,1,0.0,-15.9,0.5265,,,,,0.724
131,1,0,0,0.0,-25.56,0.5601,,,,,0.722
132,0,0,1,0.0,-13.85,0.4613,,,,,0.72
133,0,1,0,0.529,-28.41,0.7206,,,,,0.717
134,1,0,0,0.0,-22.77,0.6057,,,,,0.715
135,1,0,1,0.0,-23.08,0.6787,,,,,0.713
136,1,1,1,1.121,-50.09,1.0757,,,,,0.711
137,0,1,0,0.27,-25.73,0.6071,,,,,0.709
138,1,1,1,0.813,-47.07,0.8782,,,,,0.707
139,1,0,1,0.0,-30.78,0.6566,,,,,0.705
140,0,0,0,0.0,-16.95,0.4507,,,,,0.703
141,1,0,1,0.0,-40.74,0.7,,,,,0.7
142,1,1,0,0.034,-11.85,0.4116,,,,,0.698
143,0,0,0,0.0,-27.17,0.7324,,,,,0.696
144,0,0,1,0.0,-23.98,0.6345,,,,,0.694
145,0,0,1,0.0,-7.34,0.3785,,,,,0.692
146,1,0,0,0.0,-25.93,0.5636,,,,,0.69
147,1,1,1,0.869,-42.0,0.8085,,,,,0.688
148,0,1,1,0.099,-11.54,0.4128,,,,,0.686
149,1,0,1,0.0,-24.34,0.5953,,,,,0.683
150,0,1,0,1.223,-26.92,0.6856,0.6125,0.4781,0.5906,0.7689,0.681
151,1,0,0,0.0,-13.44,0.4362,,,,,0.679
152,1,0,1,0.0,-13.95,0.4672,,,,,0.677
153,0,0,1,0.0,-10.92,0.4771,,,,,0.675
154,1,0,0,0.0,-7.13,0.3311,,,,,0.673
155,0,1,1,0.007,-11.95,0.4237,,,,,0.671
156,1,1,1,0.166,-10.4,0.4261,,,,,0.669
157,0,0,0,0.0,-14.4,0.4566,,,,,0.666
158,1,1,1,0.588,-38.02,0.8011,,,,,0.664
159,0,0,0,0.0,-15.7,0.4496,,,,,0.662
160,1,0,0,0.0,-4.44,0.2436,,,,,0.66
161,1,1,1,0.719,-41.21,0.9859,,,,,0.658
162,1,1,1,0.191,-33.51,0.7642,,,,,0.656
163,1,0,1,0.0,-14.12,0.5067,,,,,0.654
